Author,Title,URL,Publish Date,Views,Rating,Keywords,Streams,FPS,Itag
BoxBox,Attack on Colossus,https://www.youtube.com/watch?v=O_iGdivWoT4,2021-11-10,131499,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,Yvonne learns what the BoxBox Vayne can do,https://www.youtube.com/watch?v=hQUaWLmDxU4,2021-11-09,105427,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,MAX YORDLES FILTHY RAT COMP FOR SET 6,https://www.youtube.com/watch?v=QCHcOxX8-Rk,2021-11-08,433393,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,BoxBox and friends teach Ryan Higa LoL,https://www.youtube.com/watch?v=23Li2KDgals,2021-11-07,149816,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,The Jeff Bezos Fiora Build,https://www.youtube.com/watch?v=D2ekRzdorRw,2021-11-06,95193,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,I SCHOOL Emilyy Wang with my 300 IQ positioning (ft. Peter),https://www.youtube.com/watch?v=5e_FfcX17k4,2021-11-05,116383,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
BoxBox,If I can win with this champion I can win with anything (ft. OfflineTV),https://www.youtube.com/watch?v=rHo2P4InLqc,2021-11-04,151417,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""25fps"" vcodec=""avc1.4d401e"" progressive=""False"" type=""video"">",25,135
BoxBox,iiTzTimmy is the jungler BoxBox needs,https://www.youtube.com/watch?v=wHrHUwUKbTE,2021-11-03,105579,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,BoxBox Riven meets delirious LilyPichu,https://www.youtube.com/watch?v=n3RychiRoSE,2021-11-02,102537,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""135"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""avc1.4d401f"" progressive=""False"" type=""video"">",30,135
BoxBox,Set 6 Challenger Warwick 3 chain-kills EVERYTHING (INSANE ATTACK SPEED BUFF),https://www.youtube.com/watch?v=hC5GWiG8SRs,2021-11-01,198062,,"['boxbox', 'league of legends', 'league', 'lol', 'boxbox riven', 'boxbox league', 'funny', 'funny tft', 'boxbox otv', 'boxbox justfriends', 'boxbox cosplay', 'boxbox cosplaying', 'riven cosplay', 'challenger league', 'set 5 tft', 'set 5 tft reckoning', 'boxbox league of legends', 'riven outplays', 'challenger montage', 'boxbox twitch highlights', 'boxbox vod', 'riven boxbox', 'challenger riven', 'riven montage', 'riven combos', 'riven commentary', 'riven guide', 'riven highlights', 'riven combos boxbox', 'riven gameplay', 'riven top']","<Stream: itag=""397"" mime_type=""video/mp4"" res=""480p"" fps=""30fps"" vcodec=""av01.0.04M.08"" progressive=""False"" type=""video"">",30,397
